treat,re78,age,educ,race,married,nodegree,re74,re75
1,559.4432,23,12,hispan,0,0,9385.74,1117.439
1,1085.44,20,11,black,0,1,3637.498,1220.836
1,5445.2,17,9,black,0,1,1716.509,1253.439
1,60307.93,28,11,black,0,1,0.0,1284.079
1,1460.36,26,11,black,1,1,0.0,1392.853
1,6943.342,20,11,black,0,1,16318.62,1484.994
1,4032.708,24,11,black,1,1,824.3886,1666.113
1,10363.27,31,9,black,0,1,0.0,1698.607
1,4232.309,23,8,white,1,1,0.0,1713.15
1,11141.39,18,10,black,0,1,2143.411,1784.274
1,0.0,29,12,black,0,0,10881.94,1817.284
1,13385.86,26,11,white,0,1,0.0,2226.266
1,4849.559,24,9,black,0,1,9154.7,2288.675
1,0.0,25,12,black,0,0,14426.79,2409.274
1,1660.508,24,10,black,0,1,4250.402,2421.947
1,0.0,46,8,black,0,1,3165.658,2594.723
1,2484.549,31,12,white,0,0,0.0,2611.218
1,4146.603,19,11,black,0,1,2305.026,2615.276
1,9970.681,19,8,black,0,1,0.0,2657.057
1,0.0,27,11,black,0,1,2206.94,2666.274
1,26372.28,26,11,black,1,1,0.0,2754.646
1,5615.189,20,10,black,0,1,5005.731,2777.355
1,3196.571,28,10,black,0,1,0.0,2836.506
1,6167.681,24,12,black,0,0,13765.75,2842.764
1,7535.942,19,8,black,0,1,2636.353,2937.264
1,8484.239,23,12,black,0,0,6269.341,3039.96
1,1294.409,42,9,black,1,1,0.0,3058.531
1,0.0,25,13,black,0,0,12362.93,3090.732
1,5010.342,18,9,black,0,1,0.0,3287.375
1,9371.037,21,12,black,0,0,6473.683,3332.409
1,0.0,27,10,black,0,1,1001.146,3550.075
1,4279.613,21,8,black,0,1,989.2678,3695.897
1,3462.564,22,9,black,0,1,2192.877,3836.986
1,7382.549,31,4,black,0,1,8517.589,4023.211
1,0.0,24,10,black,1,1,11703.2,4078.152
1,0.0,29,10,black,0,1,0.0,4398.95
1,10976.51,29,12,black,0,0,9748.387,4878.937
1,13829.62,19,10,white,0,1,0.0,5324.109
1,6788.463,19,11,hispan,1,1,5424.485,5463.803
1,9558.501,31,9,black,0,1,10717.03,5517.841
1,13228.28,22,10,black,1,1,1468.348,5588.664
1,743.6666,21,9,black,0,1,6416.47,5749.331
1,5522.788,17,10,black,0,1,1291.468,5793.852
1,1424.944,26,12,black,1,0,8408.762,5794.831
1,1358.643,20,9,hispan,0,1,12260.78,5875.049
1,0.0,19,10,black,0,1,4121.949,6056.754
1,672.8773,26,10,black,0,1,25929.68,6788.958
1,0.0,28,11,black,0,1,1929.029,6871.856
1,10092.83,22,12,hispan,1,0,492.2305,7055.702
1,6281.433,33,11,black,0,1,0.0,7867.916
1,12590.71,22,12,white,0,0,6759.994,8455.504
1,5112.014,29,10,hispan,0,1,0.0,8853.674
1,15952.6,33,12,black,1,0,20279.95,10941.35
1,36646.95,25,14,black,1,0,35040.07,11536.57
1,12803.97,35,9,black,1,1,13602.43,13830.64
1,3786.628,35,8,black,1,1,13732.07,17976.15
1,4181.942,33,11,black,1,1,14660.71,25142.24
0,25564.67,30,12,white,1,0,20166.73,18347.23
0,25564.67,26,12,white,1,0,25862.32,17806.55
0,25564.67,25,16,white,1,0,25862.32,15316.21
0,15491.01,42,11,white,1,1,21787.05,14265.29
0,0.0,25,9,black,1,1,14829.69,13776.53
0,17833.2,37,9,black,1,1,13685.48,12756.05
0,14146.28,32,12,white,1,0,19067.58,12625.35
0,17765.23,20,12,black,0,0,7392.314,12396.19
0,0.0,38,9,hispan,1,1,16826.18,12029.18
0,4433.18,39,10,white,1,1,16767.41,12022.02
0,19451.31,41,5,white,1,1,10785.76,11991.58
0,22094.97,31,14,white,1,0,17831.29,11563.69
0,5486.799,34,8,white,1,1,8038.872,11404.35
0,6420.722,29,12,white,1,0,14768.95,11146.55
0,18208.55,22,14,black,1,0,748.4399,11105.37
0,9922.934,42,0,hispan,1,1,2797.833,10929.92
0,7539.361,25,9,hispan,0,1,5460.477,10589.76
0,15406.78,28,9,white,1,1,11091.41,10357.02
0,11911.95,40,13,white,1,0,3577.621,10301.52
0,11087.38,35,9,white,1,1,11475.43,9397.403
0,17023.41,27,10,hispan,1,1,15711.36,9098.419
0,5661.171,27,6,hispan,1,1,7831.189,9071.565
0,21905.82,36,12,white,1,0,25535.12,8695.597
0,0.0,47,8,black,1,1,9275.169,8543.419
0,25564.67,40,11,white,1,1,20666.35,8502.242
0,11149.45,27,7,white,1,1,3064.293,8461.065
0,0.0,36,9,black,1,1,13256.4,8457.484
0,25048.94,39,6,hispan,1,1,13279.91,8441.371
0,1213.214,21,9,white,1,1,11156.07,8441.371
0,0.0,29,12,white,1,0,11199.17,8081.516
0,9453.017,22,13,hispan,0,0,6404.843,7882.79
0,11688.82,25,10,white,1,1,13634.54,7793.274
0,7806.829,27,12,white,1,0,12270.89,7709.129
0,15931.37,45,8,white,1,1,22415.97,7635.726
0,2838.713,26,12,white,1,0,2345.242,7565.903
0,14038.4,27,12,white,1,0,9788.497,7496.081
0,25514.43,33,8,white,1,1,12312.03,7474.597
0,4162.756,25,12,white,1,0,11381.38,7467.435
0,7503.896,49,8,white,1,1,6459.703,7431.629
0,12104.06,40,3,hispan,1,1,7576.485,7426.258
0,2231.367,22,12,black,1,0,9729.719,7372.548
0,14617.67,25,5,white,1,1,7891.927,7293.774
0,19588.74,25,12,white,1,0,11516.57,7263.339
0,10746.03,21,12,white,1,0,13601.23,7202.468
0,25564.67,33,9,hispan,1,1,11959.36,7087.887
0,0.0,20,12,black,1,0,9555.344,7055.661
0,837.871,19,11,white,1,1,4306.468,6978.677
0,461.0507,25,12,black,1,0,295.8493,6942.871
0,24290.87,29,12,white,1,0,15303.83,6932.129
0,6680.802,20,12,white,1,0,3558.029,6797.855
0,7196.528,29,6,hispan,1,1,8542.403,6701.177
0,13015.82,25,13,white,1,0,19259.59,6652.839
0,24647.0,41,15,white,1,0,25862.32,6563.323
0,25564.67,39,10,white,1,1,22745.13,6493.5
0,2936.243,33,12,white,1,0,10819.07,6369.968
0,20575.86,29,8,white,1,1,9169.369,6352.065
0,10923.35,21,11,white,1,1,10679.96,6276.871
0,22403.81,31,12,white,1,0,23652.27,6228.532
0,7215.739,36,12,black,1,0,11040.47,6221.371
0,122.6513,25,7,white,1,1,5597.625,6099.629
0,15177.73,35,7,white,1,1,10715.23,6087.097
0,4742.025,22,9,white,1,1,5683.833,6038.758
0,9732.307,31,2,hispan,1,1,3262.179,5965.355
0,6238.962,40,15,white,1,0,10907.24,5922.387
0,6145.865,47,3,white,1,1,9047.894,5911.645
0,11136.15,26,8,hispan,0,1,3168.134,5872.258
0,9241.702,42,7,white,1,1,10971.89,5806.016
0,19965.56,53,12,white,0,0,17104.4,5775.581
0,14421.13,30,17,black,0,0,17827.37,5546.419
0,10289.41,28,10,white,1,1,10415.46,5544.629
0,0.0,46,11,white,1,1,14753.28,5299.355
0,21602.88,28,12,white,0,0,8256.35,5279.661
0,25564.67,27,12,hispan,1,0,17604.01,5222.371
0,12418.81,25,10,white,1,1,4335.857,5181.194
0,0.0,38,8,white,1,1,11242.27,5174.032
0,4181.966,26,12,hispan,0,0,7968.338,5109.581
0,0.0,54,12,white,0,0,7165.039,5012.903
0,8720.065,38,8,hispan,1,1,22606.02,4978.887
0,16747.08,23,17,white,0,0,0.0,4876.839
0,2782.559,23,8,white,1,1,3595.255,4866.097
0,14065.0,23,12,white,1,0,11690.95,4764.048
0,379.7757,25,12,hispan,1,0,8746.167,4762.258
0,12705.49,25,15,white,1,0,7386.436,4738.984
0,0.0,37,11,hispan,0,1,615.2098,4713.919
0,21857.05,40,12,white,1,0,18389.68,4688.855
0,135.9508,19,10,white,0,1,5777.878,4672.742
0,0.0,48,7,white,1,1,13326.93,4636.935
0,0.0,19,12,white,0,0,8530.648,4620.823
0,0.0,16,9,white,0,1,2539.21,4579.645
0,7781.708,29,10,white,1,1,713.1731,4542.048
0,15538.29,30,16,white,0,0,3093.682,4468.645
0,10642.59,22,11,white,1,1,8761.841,4463.274
0,2453.026,22,10,white,0,1,17268.98,4400.613
0,19330.14,47,10,black,1,1,13311.26,4397.032
0,3020.473,25,12,hispan,1,0,2266.872,4361.226
0,19438.02,47,10,black,0,1,21918.32,4323.629
0,0.0,24,12,black,1,0,8573.752,4293.194
0,0.0,20,12,black,1,0,2648.929,4273.5
0,7314.747,28,12,black,0,0,16722.34,4253.806
0,3358.873,47,11,white,0,1,8060.424,4232.323
0,220.1813,50,0,white,1,1,10162.72,4218.0
0,8957.978,18,12,white,0,0,2217.89,4191.145
0,1687.564,21,12,white,0,0,9665.063,4110.581
0,17358.85,47,11,white,1,1,23924.61,4096.258
0,5937.505,21,12,white,0,0,2827.222,4056.871
0,18133.18,34,11,white,1,1,0.0,4010.323
0,1066.919,19,12,white,1,0,5817.063,3919.016
0,3104.704,44,13,white,1,0,8032.994,3881.419
0,0.0,21,15,white,1,0,6951.479,3879.629
0,12718.79,20,12,black,0,0,5099.971,3842.032
0,1525.014,51,11,white,0,1,48.98167,3813.387
0,9253.524,28,13,white,0,0,5260.631,3790.113
0,0.0,24,15,white,0,0,12746.99,3743.565
0,0.0,28,8,hispan,1,1,8305.332,3718.5
0,11075.56,20,11,white,1,1,5822.941,3532.306
0,8133.407,29,12,white,1,0,14288.93,3503.661
0,3818.445,23,12,white,1,0,14347.71,3482.177
0,5495.665,20,11,black,0,1,0.0,3480.387
0,9856.436,42,7,white,1,1,4324.102,3457.113
0,18781.9,43,12,white,1,0,14328.12,3453.532
0,5344.937,27,13,white,0,0,16406.9,3426.677
0,3367.739,27,4,hispan,1,1,626.9654,3410.565
0,7981.201,25,12,white,1,0,21469.65,3405.194
0,12602.05,18,12,white,0,0,4729.67,3328.21
0,25564.67,31,16,white,1,0,25862.32,3254.806
0,7240.86,27,12,white,1,0,4043.927,3231.532
0,15814.63,18,11,white,0,1,0.0,3226.161
0,0.0,24,7,white,1,1,7860.578,3213.629
0,5535.564,23,12,white,1,0,7856.66,3213.629
0,18597.19,50,12,white,1,0,19929.66,3190.355
0,15436.33,19,12,white,0,0,99.92261,3172.452
0,6398.556,23,10,white,1,1,15811.28,3145.597
0,16015.6,51,12,white,1,0,21001.38,3140.226
0,94.5745,19,11,black,0,1,5607.422,3054.29
0,21141.83,20,10,white,1,1,3099.56,2970.145
0,7403.41,20,11,hispan,0,1,2868.367,2968.355
0,0.0,21,12,white,0,0,8128.998,2939.71
0,18761.22,39,10,white,1,1,0.0,2886.0
0,2751.527,36,5,white,0,1,3814.692,2873.468
0,14344.29,19,9,black,0,1,1079.556,2873.468
0,1907.745,42,6,hispan,1,1,2425.572,2832.29
0,6098.578,20,7,white,0,1,1902.448,2792.903
0,0.0,23,12,white,1,0,4954.986,2771.419
0,0.0,35,12,white,1,0,1469.45,2719.5
0,12120.31,18,12,white,0,0,881.6701,2696.226
0,6395.601,43,8,white,1,1,18338.74,2674.742
0,13429.58,37,14,white,1,0,18501.36,2638.935
0,2173.736,24,10,white,1,1,4719.874,2565.532
0,1019.631,51,12,white,0,0,20742.76,2538.677
0,14187.65,22,11,hispan,0,1,7341.373,2535.097
0,7118.209,19,12,white,0,0,336.9939,2518.984
0,0.0,52,0,hispan,1,1,773.9104,2506.452
0,4787.834,21,12,white,0,0,2903.633,2456.323
0,0.0,24,12,white,0,0,9784.578,2413.355
0,9460.406,35,8,white,1,1,2241.401,2399.032
0,0.0,20,13,white,0,0,0.0,2352.484
0,1613.677,17,7,black,0,1,1054.086,2286.242
0,8154.095,18,10,black,0,1,311.5234,2284.452
0,7310.313,28,12,black,0,0,6285.328,2255.806
0,1892.968,25,14,hispan,1,0,1622.273,2239.694
0,876.2919,40,12,hispan,0,0,13616.9,2228.952
0,13976.34,50,3,white,1,1,3136.786,2203.887
0,11600.15,48,8,white,1,1,16050.31,2116.161
0,6460.621,17,7,hispan,0,1,0.0,2082.145
0,14475.81,30,12,white,1,0,7347.251,2080.355
0,366.4762,30,7,white,1,1,574.0652,2010.532
0,0.0,22,11,white,1,1,3030.986,1976.516
0,13419.24,27,12,white,1,0,11493.06,1906.694
0,1898.879,25,9,white,1,1,23377.97,1901.323
0,6389.69,21,14,white,0,0,80.32994,1890.581
0,19993.64,17,10,white,0,1,0.0,1888.79
0,9206.237,39,7,white,0,1,7786.126,1844.032
0,803.8833,18,9,black,0,1,1183.397,1822.548
0,1037.364,25,12,white,1,0,2721.422,1754.516
0,0.0,20,8,white,1,1,2360.916,1741.984
0,0.0,19,13,white,0,0,2366.794,1709.758
0,9853.481,19,11,white,0,1,0.0,1693.645
0,25564.67,22,12,white,0,0,10137.25,1679.323
0,20243.38,18,11,black,0,1,2068.986,1623.823
0,7675.312,21,10,white,0,1,1767.259,1555.79
0,3262.82,24,12,white,1,0,7643.1,1546.839
0,12489.75,18,11,white,0,1,1273.523,1532.516
0,6231.573,17,10,white,0,1,568.1874,1525.355
0,7843.773,17,10,white,0,1,0.0,1503.871
0,237.914,18,10,white,0,1,0.0,1491.339
0,13170.98,53,10,hispan,0,1,7878.212,1489.548
0,3683.972,18,11,black,0,1,1191.234,1478.806
0,6918.716,17,10,hispan,0,1,0.0,1453.742
0,0.0,26,12,black,0,0,0.0,1448.371
0,18323.81,39,5,white,1,1,13082.02,1434.048
0,3057.416,18,12,black,0,0,1579.169,1408.984
0,4975.505,23,13,white,0,0,601.4949,1394.661
0,6756.166,18,8,white,0,1,5023.56,1391.081
0,2404.261,28,10,white,1,1,7578.444,1383.919
0,0.0,32,4,white,1,1,0.0,1378.548
0,33.98771,18,11,black,0,1,0.0,1367.806
0,0.0,40,10,white,1,1,1543.902,1342.742
0,16967.26,21,14,white,0,0,8456.196,1330.21
0,6694.101,29,10,hispan,0,1,3732.403,1323.048
0,0.0,31,6,white,0,1,2666.562,1321.258
0,0.0,46,7,white,1,1,19171.43,1317.677
0,0.0,20,9,hispan,1,1,0.0,1283.661
0,18227.76,36,18,white,1,0,3273.935,1269.339
0,7987.112,45,12,white,1,0,16559.72,1265.758
0,6847.785,16,10,white,0,1,1026.656,1224.581
0,2232.845,18,12,white,0,0,818.9735,1208.468
0,3873.121,40,12,hispan,0,0,11867.28,1195.935
0,2451.548,16,9,white,0,1,0.0,1188.774
0,5578.418,16,10,white,0,1,574.0652,1181.613
0,239.3917,28,5,hispan,1,1,10967.98,1178.032
0,15554.55,20,12,white,0,0,0.0,1147.597
0,5327.204,19,8,white,1,1,39.18534,1136.855
0,542.3257,16,8,white,0,1,0.0,1113.581
0,0.0,20,11,white,1,1,2547.047,1099.258
0,1745.195,35,10,white,1,1,4964.782,1086.726
0,0.0,32,6,hispan,1,1,979.6334,1036.597
0,0.0,32,16,black,0,0,17135.75,1031.226
0,8900.347,17,9,black,0,1,0.0,981.0968
0,4728.725,16,7,white,0,1,0.0,975.7258
0,7684.178,32,15,white,0,0,489.8167,968.5645
0,12059.73,19,12,white,0,0,815.055,964.9839
0,17717.94,40,12,white,1,0,16851.65,961.4032
0,0.0,50,7,white,1,1,11473.47,956.0323
0,0.0,39,11,white,0,1,0.0,930.9677
0,1306.31,18,8,hispan,0,1,0.0,902.3226
0,701.9201,39,10,black,0,1,844.444,889.7903
0,7759.542,17,11,hispan,0,1,0.0,873.6774
0,0.0,17,5,black,0,1,96.00407,868.3065
0,2587.499,19,12,white,0,0,2425.572,861.1452
0,3392.86,27,15,white,0,0,0.0,857.5645
0,7933.914,18,11,black,0,1,587.78,841.4516
0,1454.083,20,14,white,1,0,0.0,805.6452
0,13683.75,20,12,white,1,0,12145.49,791.3226
0,9067.33,19,13,black,0,0,1714.358,785.9516
0,2340.719,24,8,white,1,1,213.5601,760.8871
0,0.0,27,12,white,1,0,4222.22,751.9355
0,5647.871,19,9,white,0,1,773.9104,676.7419
0,0.0,52,8,black,1,1,5454.599,666.0
0,0.0,18,11,hispan,0,1,0.0,630.1935
0,3892.332,16,10,hispan,0,1,0.0,630.1935
0,4843.988,18,12,hispan,0,0,0.0,630.1935
0,0.0,45,12,white,0,0,4473.006,608.7097
0,2256.488,21,14,white,0,0,9708.167,594.3871
0,0.0,36,8,white,1,1,2715.544,585.4355
0,0.0,21,13,white,0,0,513.3279,578.2742
0,0.0,41,7,white,1,1,19573.08,565.7419
0,642.8111,18,7,white,0,1,491.776,558.5806
0,5752.79,39,9,white,0,1,11230.52,537.0968
0,0.0,19,3,white,1,1,0.0,537.0968
0,15353.58,32,13,white,1,0,12553.02,524.5645
0,4112.513,16,9,white,0,1,0.0,485.1774
0,6210.885,16,7,white,0,1,658.3136,479.8065
0,1223.558,21,9,black,0,1,1030.574,470.8548
0,14289.62,22,12,white,1,0,12096.51,469.0645
0,4776.012,23,11,hispan,1,1,8946.012,469.0645
0,0.0,17,8,black,0,1,0.0,451.1613
0,8844.194,21,8,white,1,1,5699.507,388.5
0,0.0,18,10,white,0,1,0.0,386.7097
0,8547.171,24,12,white,1,0,9051.813,327.629
0,1273.8,24,12,black,1,0,4232.016,320.4677
0,3707.616,16,9,white,0,1,0.0,320.4677
0,5551.819,20,8,white,1,1,621.0876,306.1452
0,14116.72,42,8,white,0,1,17925.33,300.7742
0,18891.26,17,8,hispan,0,1,391.8534,300.7742
0,18510.0,19,8,hispan,0,1,368.3422,300.7742
0,54.67588,17,9,black,0,1,0.0,297.1935
0,7698.955,21,14,white,0,0,107.7597,293.6129
0,3983.951,16,9,black,0,1,0.0,277.5
0,582.2243,23,13,black,0,0,172.4155,272.129
0,1725.985,16,9,white,0,1,411.446,254.2258
0,5173.521,17,11,hispan,0,1,803.2994,248.8548
0,0.0,46,7,white,0,1,1081.515,245.2742
0,8245.714,32,10,white,1,1,4145.809,238.1129
0,7503.896,18,11,white,0,1,131.2709,218.4194
0,0.0,23,12,hispan,1,0,0.0,216.629
0,14053.18,18,10,white,1,1,0.0,211.2581
0,0.0,19,10,black,0,1,1056.045,205.8871
0,6145.865,16,7,black,0,1,133.2301,205.8871
0,650.1997,26,7,white,1,1,1538.024,189.7742
0,2136.793,16,10,white,0,1,0.0,189.7742
0,6423.677,17,10,white,0,1,0.0,182.6129
0,1483.637,17,10,white,0,1,0.0,171.871
0,0.0,23,8,white,1,1,33.30754,166.5
0,9473.705,29,12,white,1,0,14641.6,162.9194
0,10301.23,17,10,white,0,1,0.0,152.1774
0,14963.46,49,8,white,1,1,14684.7,136.0645
0,15363.92,20,10,white,1,1,6563.544,134.2742
0,0.0,40,16,white,1,0,0.0,114.5806
0,675.321,19,10,white,0,1,1933.796,112.7903
0,1421.573,18,11,white,0,1,1481.206,57.29032
0,0.0,16,6,black,0,1,0.0,44.75806
0,209.8372,22,8,white,1,1,105.8004,42.96774
0,11023.84,31,12,black,1,0,0.0,42.96774
0,6280.338,20,11,white,1,1,4478.884,39.3871
0,1913.656,17,11,hispan,0,1,601.4949,10.74194
0,25564.67,50,12,white,1,0,25862.32,0.0
0,25564.67,49,14,white,1,0,25862.32,0.0
0,25564.67,47,9,white,1,1,25862.32,0.0
0,0.0,34,11,hispan,1,1,22198.49,0.0
0,959.0445,22,8,black,1,1,16961.37,0.0
0,12593.19,27,12,white,1,0,15509.56,0.0
0,11563.21,30,10,white,1,1,14913.94,0.0
0,25564.67,52,12,white,1,0,14780.71,0.0
0,16860.86,43,12,white,1,0,13321.05,0.0
0,0.0,27,9,hispan,1,1,12829.28,0.0
0,11269.14,35,13,white,0,0,9537.711,0.0
0,12108.49,45,12,white,1,0,9277.128,0.0
0,9088.018,22,11,black,1,1,9049.853,0.0
0,3342.618,22,12,white,1,0,9022.424,0.0
0,4183.444,23,11,white,1,1,8910.745,0.0
0,0.0,55,7,white,1,1,8832.375,0.0
0,0.0,26,14,white,0,0,8411.132,0.0
0,6032.08,34,12,white,0,0,8125.079,0.0
0,5748.356,22,11,white,0,1,8013.401,0.0
0,4094.78,31,12,white,0,0,6156.016,0.0
0,2160.436,19,12,white,0,0,5797.47,0.0
0,5040.525,24,10,white,1,1,5523.173,0.0
0,0.0,36,12,white,1,0,5374.269,0.0
0,15892.95,20,9,white,1,1,5229.283,0.0
0,0.0,23,8,white,1,1,4610.155,0.0
0,21963.45,35,11,white,1,1,3975.352,0.0
0,16324.45,23,12,white,0,0,3893.063,0.0
0,251.2135,29,10,white,0,1,3751.996,0.0
0,818.6605,24,9,white,1,1,3438.513,0.0
0,0.0,18,10,white,0,1,3360.143,0.0
0,31.03226,45,8,black,0,1,3299.405,0.0
0,17627.8,21,13,hispan,0,0,3015.312,0.0
0,14339.86,29,13,white,1,0,2780.2,0.0
0,1717.118,21,15,white,0,0,2629.336,0.0
0,116.7404,22,16,black,0,0,2564.68,0.0
0,2448.593,24,12,black,1,0,2355.039,0.0
0,2813.591,20,14,white,0,0,2210.053,0.0
0,14998.92,19,6,black,0,1,1955.348,0.0
0,3372.172,19,9,hispan,0,1,1822.118,0.0
0,0.0,19,12,black,0,0,1681.051,0.0
0,913.235,20,13,white,0,0,1657.54,0.0
0,0.0,19,12,black,0,0,1655.58,0.0
0,3700.227,26,5,white,1,1,1573.291,0.0
0,2862.356,26,9,hispan,0,1,1563.495,0.0
0,0.0,23,12,white,0,0,1504.717,0.0
0,12618.31,20,9,hispan,0,1,1500.798,0.0
0,6290.682,20,10,white,0,1,1412.631,0.0
0,0.0,36,11,white,1,1,1404.794,0.0
0,1202.869,39,12,white,1,0,1289.198,0.0
