treat,depress2,job_seek,age,sex,educ,nonwhite,marital
1,1.0,3.3333332538604736,43.046573638916016,0,highsc,non.white1,nevmarr
1,2.3636362552642822,3.3333332538604736,39.391780853271484,0,highsc,white0,married
1,1.1818181276321411,3.1666667461395264,32.16712188720703,0,highsc,white0,divrcd
0,1.0909091234207153,3.6666667461395264,25.356164932250977,1,somcol,non.white1,married
1,1.6363636255264282,4.666666507720947,53.109588623046875,1,gradwk,white0,married
0,1.454545497894287,3.5,41.76164245605469,0,gradwk,white0,married
1,1.6363636255264282,2.8333332538604736,37.276710510253906,0,bach,white0,married
1,1.1818181276321411,4.0,44.76712417602539,1,somcol,non.white1,married
1,2.454545497894287,2.6666667461395264,24.97808265686035,1,somcol,non.white1,nevmarr
0,1.2727272510528564,4.166666507720947,33.69588851928711,0,somcol,white0,divrcd
0,2.1818182468414307,3.6666667461395264,52.147945404052734,1,highsc,white0,married
1,2.6363637447357178,5.0,40.96986389160156,1,highsc,white0,nevmarr
1,1.2727272510528564,5.0,32.24383544921875,0,bach,white0,nevmarr
1,1.8181818723678589,2.5,29.279451370239258,1,gradwk,non.white1,nevmarr
1,1.6363636255264282,4.333333492279053,33.416439056396484,1,gradwk,white0,nevmarr
0,2.909090995788574,4.0,37.65205383300781,0,highsc,non.white1,married
1,2.1818182468414307,5.0,20.649314880371094,1,highsc,non.white1,nevmarr
1,1.0,5.0,39.095890045166016,1,bach,non.white1,divrcd
1,1.2727272510528564,4.5,45.646575927734375,1,bach,white0,divrcd
0,2.090909004211426,3.0,21.668493270874023,0,somcol,white0,nevmarr
1,2.090909004211426,4.333333492279053,31.602739334106445,1,bach,white0,nevmarr
1,3.2727272510528564,4.666666507720947,39.427398681640625,0,highsc,white0,married
1,1.0,4.666666507720947,47.26849365234375,1,highsc,white0,divrcd
1,1.2727272510528564,4.0,34.0191764831543,0,gradwk,white0,divrcd
1,1.0,5.0,37.915069580078125,0,highsc,white0,divrcd
1,2.1818182468414307,3.0,35.5369873046875,0,highsc,white0,married
1,1.8181818723678589,5.0,25.093151092529297,1,gradwk,white0,nevmarr
1,1.2999999523162842,5.0,57.76986312866211,1,somcol,white0,divrcd
1,1.454545497894287,4.666666507720947,42.83561706542969,1,highsc,non.white1,married
1,2.454545497894287,3.5,34.16438293457031,0,somcol,non.white1,married
0,1.454545497894287,4.333333492279053,35.876712799072266,0,bach,white0,married
0,1.0,5.0,46.98356246948242,1,somcol,non.white1,nevmarr
0,1.545454502105713,3.6666667461395264,34.635616302490234,0,highsc,white0,nevmarr
0,1.2727272510528564,3.8333332538604736,63.45205307006836,0,bach,white0,married
1,1.0,4.833333492279053,46.328765869140625,1,highsc,white0,married
1,1.2727272510528564,5.0,44.92054748535156,1,somcol,white0,married
0,1.454545497894287,4.666666507720947,41.70410919189453,1,somcol,white0,married
1,1.6363636255264282,4.0,21.695890426635742,1,somcol,white0,married
1,1.3636363744735718,4.0,37.94520568847656,1,somcol,white0,nevmarr
0,1.3636363744735718,4.166666507720947,34.76164245605469,1,lt-hs,white0,married
0,1.6363636255264282,4.5,33.96986389160156,0,somcol,white0,married
1,1.1818181276321411,3.1666667461395264,28.589040756225586,1,highsc,non.white1,nevmarr
1,1.454545497894287,3.8333332538604736,36.62739562988281,1,somcol,white0,nevmarr
1,1.6363636255264282,3.5,33.55342483520508,0,lt-hs,white0,married
1,1.0,3.5,58.03835678100586,1,somcol,white0,married
1,2.1818182468414307,4.0,31.673973083496094,1,somcol,white0,divrcd
0,1.545454502105713,3.3333332538604736,49.80548095703125,1,highsc,white0,divrcd
1,1.0909091234207153,4.333333492279053,59.44657516479492,1,highsc,white0,married
0,1.3636363744735718,5.0,53.79452133178711,0,bach,white0,separtd
1,1.545454502105713,4.833333492279053,44.643836975097656,0,highsc,white0,married
1,1.6363636255264282,5.0,27.92876625061035,1,somcol,white0,nevmarr
0,1.545454502105713,3.1666667461395264,26.28219223022461,0,highsc,white0,nevmarr
1,1.0,4.0,31.48219108581543,0,highsc,white0,nevmarr
1,1.1818181276321411,4.5,20.402740478515625,1,somcol,non.white1,nevmarr
1,1.0,4.0,22.47397232055664,0,lt-hs,white0,nevmarr
1,1.0,4.166666507720947,21.810958862304688,0,somcol,white0,nevmarr
0,1.9090908765792847,3.5,31.906848907470703,1,highsc,non.white1,separtd
1,1.2727272510528564,4.166666507720947,26.180822372436523,0,lt-hs,white0,nevmarr
1,2.1818182468414307,4.166666507720947,23.69862937927246,1,somcol,white0,nevmarr
1,1.0,5.0,56.854793548583984,0,bach,white0,married
1,1.454545497894287,3.5,27.28767204284668,1,highsc,white0,nevmarr
1,2.7272727489471436,4.166666507720947,27.580821990966797,1,highsc,white0,married
0,1.9090908765792847,4.166666507720947,64.38082122802734,0,somcol,white0,married
1,1.454545497894287,3.6666667461395264,25.676712036132812,1,highsc,white0,nevmarr
1,2.545454502105713,1.8333333730697632,20.063013076782227,1,lt-hs,white0,nevmarr
1,2.090909004211426,3.0,43.120548248291016,0,gradwk,white0,nevmarr
1,1.0,5.0,29.827396392822266,0,somcol,white0,married
0,1.7272727489471436,4.333333492279053,67.50411224365234,0,highsc,white0,married
1,1.2727272510528564,4.0,37.79178237915039,1,somcol,white0,divrcd
1,1.9090908765792847,3.8333332538604736,27.03835678100586,0,somcol,white0,nevmarr
1,1.2727272510528564,3.6666667461395264,48.413700103759766,0,highsc,non.white1,separtd
1,1.7272727489471436,3.8333332538604736,31.117807388305664,0,highsc,white0,married
1,1.0909091234207153,3.8333332538604736,45.441097259521484,0,somcol,white0,divrcd
1,1.3636363744735718,4.666666507720947,30.394519805908203,1,gradwk,white0,nevmarr
0,1.0909091234207153,4.333333492279053,50.06301498413086,0,highsc,white0,married
0,3.0,3.1666667461395264,28.830137252807617,0,highsc,white0,married
1,1.7272727489471436,4.666666507720947,35.00273895263672,1,bach,white0,divrcd
1,3.090909004211426,4.0,38.75616455078125,1,somcol,white0,nevmarr
0,1.9090908765792847,4.666666507720947,40.01369857788086,0,highsc,white0,married
0,1.454545497894287,4.333333492279053,25.128767013549805,1,somcol,non.white1,separtd
0,1.0,4.666666507720947,52.37260437011719,0,highsc,white0,divrcd
1,1.8181818723678589,4.666666507720947,34.865753173828125,1,somcol,white0,married
1,2.0,3.3333332538604736,28.087671279907227,0,somcol,white0,nevmarr
1,3.454545497894287,3.3333332538604736,44.49314880371094,0,lt-hs,non.white1,divrcd
1,1.600000023841858,3.5,59.33424758911133,1,highsc,white0,married
1,2.1818182468414307,3.1666667461395264,51.032875061035156,1,highsc,white0,married
0,1.2727272510528564,5.0,34.21917724609375,1,bach,white0,divrcd
1,1.5,4.0,60.375343322753906,1,bach,white0,divrcd
1,1.3636363744735718,3.0,46.01643753051758,0,highsc,white0,married
1,1.0,4.666666507720947,58.75068664550781,1,somcol,white0,divrcd
0,1.1818181276321411,4.666666507720947,23.706850051879883,1,bach,white0,married
1,1.545454502105713,4.0,44.20547866821289,1,highsc,non.white1,divrcd
1,3.909090995788574,4.5,32.77808380126953,1,somcol,white0,nevmarr
1,1.2727272510528564,3.0,56.38356018066406,1,highsc,non.white1,divrcd
1,2.545454502105713,3.1666667461395264,51.56712341308594,1,somcol,non.white1,married
0,2.7272727489471436,4.5,43.802738189697266,1,highsc,white0,married
0,1.0,3.3333332538604736,45.416439056396484,1,highsc,non.white1,married
1,1.0909091234207153,5.0,35.97260284423828,1,gradwk,white0,married
0,2.5,3.8333332538604736,36.28219223022461,0,somcol,white0,married
1,1.1818181276321411,5.0,23.227397918701172,0,somcol,white0,nevmarr
0,1.545454502105713,4.5,58.47671127319336,0,somcol,white0,married
1,1.0909091234207153,4.0,42.134246826171875,1,highsc,white0,married
1,1.0909091234207153,4.166666507720947,44.32054901123047,1,gradwk,white0,married
1,1.2727272510528564,3.5,23.917808532714844,1,somcol,white0,nevmarr
1,1.9090908765792847,4.0,43.6054801940918,1,highsc,white0,married
1,1.454545497894287,4.166666507720947,28.353424072265625,1,highsc,white0,married
1,1.545454502105713,4.333333492279053,28.591781616210938,1,bach,white0,nevmarr
1,2.3636362552642822,4.166666507720947,29.73972511291504,0,gradwk,white0,nevmarr
1,2.0,3.3333332538604736,29.94246482849121,0,highsc,white0,nevmarr
1,2.1818182468414307,3.5,39.46027374267578,0,gradwk,white0,married
1,1.0,3.6666667461395264,54.082191467285156,0,highsc,white0,married
1,2.3636362552642822,3.8333332538604736,44.71232986450195,0,gradwk,white0,married
1,2.2727272510528564,3.6666667461395264,31.05753517150879,0,somcol,white0,married
1,1.1818181276321411,4.333333492279053,35.47123336791992,0,highsc,white0,married
0,1.8181818723678589,3.5,45.51780700683594,0,somcol,white0,married
1,1.9090908765792847,5.0,53.147945404052734,1,bach,white0,nevmarr
1,4.454545497894287,4.5,28.610958099365234,1,gradwk,white0,married
1,1.545454502105713,3.6666667461395264,31.810958862304688,1,highsc,white0,married
0,1.6363636255264282,4.5,41.63835525512695,1,highsc,white0,married
1,1.454545497894287,4.333333492279053,49.20000076293945,0,bach,white0,married
0,1.3636363744735718,4.0,20.424657821655273,0,highsc,white0,nevmarr
1,1.1818181276321411,5.0,40.27397155761719,0,somcol,white0,divrcd
1,1.454545497894287,5.0,27.01095962524414,0,gradwk,white0,married
1,2.090909004211426,3.8333332538604736,40.40821838378906,0,somcol,non.white1,married
1,1.0,4.666666507720947,33.44657516479492,1,somcol,non.white1,married
0,2.545454502105713,3.8333332538604736,26.74520492553711,0,bach,white0,nevmarr
1,1.3636363744735718,3.8333332538604736,33.276710510253906,0,bach,white0,nevmarr
0,1.6363636255264282,4.833333492279053,24.94794464111328,0,somcol,white0,nevmarr
1,1.0909091234207153,5.0,39.416439056396484,1,somcol,white0,divrcd
0,1.1818181276321411,4.166666507720947,36.84657669067383,0,somcol,white0,separtd
1,1.6363636255264282,3.1666667461395264,36.00547790527344,1,bach,white0,divrcd
1,2.6363637447357178,4.333333492279053,26.791780471801758,0,bach,white0,married
0,1.3636363744735718,3.6666667461395264,56.109588623046875,0,gradwk,non.white1,married
1,1.0,4.5,35.975341796875,1,bach,non.white1,married
1,1.2727272510528564,4.333333492279053,37.55068588256836,0,somcol,white0,married
0,1.0,3.6666667461395264,30.50136947631836,0,somcol,white0,divrcd
1,1.1818181276321411,4.666666507720947,30.3150691986084,1,bach,white0,nevmarr
1,1.2727272510528564,4.166666507720947,26.03835678100586,1,bach,non.white1,married
1,1.0,4.833333492279053,56.608219146728516,1,highsc,white0,divrcd
0,2.5999999046325684,3.8333332538604736,43.81095886230469,1,somcol,white0,married
1,1.3636363744735718,4.666666507720947,49.868492126464844,1,bach,white0,divrcd
0,1.454545497894287,5.0,25.578083038330078,0,somcol,non.white1,nevmarr
1,2.3636362552642822,3.8333332538604736,27.8027400970459,0,somcol,non.white1,nevmarr
0,1.0909091234207153,4.5,40.29862976074219,0,somcol,white0,married
1,1.8181818723678589,4.333333492279053,47.79999923706055,0,gradwk,white0,divrcd
0,1.7272727489471436,5.0,45.123287200927734,1,somcol,white0,married
1,1.545454502105713,4.0,39.10137176513672,1,bach,white0,divrcd
1,2.0,4.333333492279053,45.830135345458984,1,highsc,white0,divrcd
0,1.6363636255264282,4.0,35.45753479003906,1,highsc,white0,divrcd
1,1.0909091234207153,4.166666507720947,57.67671203613281,0,lt-hs,white0,married
1,1.0909091234207153,5.0,34.378082275390625,1,highsc,white0,separtd
1,1.0909091234207153,4.333333492279053,48.78630065917969,1,highsc,white0,married
0,1.7272727489471436,4.0,27.73972511291504,1,gradwk,white0,married
0,1.2727272510528564,4.5,24.75068473815918,1,bach,white0,nevmarr
1,3.1818182468414307,3.0,52.55068588256836,0,gradwk,white0,married
1,2.090909004211426,4.833333492279053,46.52602767944336,1,highsc,white0,married
1,1.454545497894287,3.3333332538604736,27.613698959350586,0,somcol,white0,married
0,2.7272727489471436,2.5,43.53972625732422,1,highsc,white0,married
0,1.3636363744735718,5.0,39.838356018066406,1,gradwk,white0,married
0,1.8181818723678589,5.0,38.26301193237305,0,gradwk,white0,nevmarr
0,2.3636362552642822,4.166666507720947,42.27123260498047,1,somcol,white0,married
1,2.0,5.0,39.405479431152344,0,gradwk,white0,nevmarr
1,1.0909091234207153,4.666666507720947,27.77534294128418,0,somcol,white0,separtd
0,2.454545497894287,3.8333332538604736,52.96164321899414,1,highsc,white0,married
1,1.1818181276321411,4.5,25.857534408569336,0,highsc,white0,married
0,1.3636363744735718,4.0,53.545204162597656,1,highsc,white0,widowed
0,1.6363636255264282,3.8333332538604736,45.9561653137207,0,highsc,white0,divrcd
0,1.0,3.6666667461395264,31.597259521484375,0,somcol,white0,married
0,1.6363636255264282,4.0,27.084932327270508,0,bach,white0,married
0,2.8181817531585693,3.5,26.580821990966797,1,highsc,white0,married
1,1.0,5.0,42.12602615356445,1,gradwk,white0,nevmarr
1,2.0,3.3333332538604736,23.7095890045166,0,somcol,white0,nevmarr
1,1.454545497894287,4.0,56.106849670410156,1,lt-hs,white0,married
0,1.6363636255264282,4.333333492279053,31.21095848083496,1,highsc,white0,married
1,1.3636363744735718,4.333333492279053,45.671234130859375,0,highsc,white0,married
1,1.1818181276321411,3.8333332538604736,61.47397232055664,0,highsc,white0,married
0,1.0,3.6666667461395264,59.76164245605469,0,gradwk,white0,married
0,2.8181817531585693,3.8333332538604736,37.52328872680664,1,somcol,white0,nevmarr
1,1.6363636255264282,4.0,30.03287696838379,0,gradwk,white0,nevmarr
0,1.2727272510528564,3.8333332538604736,51.97808074951172,0,highsc,white0,married
0,1.0909091234207153,5.0,42.413700103759766,0,somcol,white0,married
1,3.0,4.333333492279053,35.26849365234375,0,somcol,white0,married
1,1.1818181276321411,3.8333332538604736,22.969863891601562,0,highsc,white0,nevmarr
1,2.090909004211426,4.166666507720947,35.915069580078125,0,bach,white0,nevmarr
0,1.0,4.0,34.25753402709961,1,highsc,white0,nevmarr
1,1.454545497894287,2.6666667461395264,27.701370239257812,1,somcol,non.white1,married
1,1.0,5.0,35.43287658691406,0,somcol,white0,married
1,1.1818181276321411,5.0,41.33150863647461,0,bach,white0,separtd
1,2.2727272510528564,3.5,28.931507110595703,0,somcol,white0,nevmarr
1,1.1818181276321411,5.0,18.687671661376953,1,highsc,white0,nevmarr
0,1.2727272510528564,4.5,35.29589080810547,0,bach,white0,married
0,3.090909004211426,2.3333332538604736,23.131505966186523,0,highsc,white0,nevmarr
1,2.8181817531585693,4.833333492279053,44.05479431152344,0,lt-hs,white0,married
1,1.6363636255264282,2.6666667461395264,36.55342483520508,1,somcol,white0,married
1,1.399999976158142,4.166666507720947,39.96986389160156,1,somcol,white0,divrcd
1,1.0,4.0,44.5369873046875,0,lt-hs,white0,divrcd
1,1.8181818723678589,5.0,32.75890350341797,1,bach,white0,nevmarr
1,2.6363637447357178,3.1666667461395264,37.40821838378906,0,somcol,white0,married
1,1.7272727489471436,4.166666507720947,24.060274124145508,1,highsc,white0,nevmarr
0,1.3636363744735718,3.5,21.413698196411133,0,somcol,white0,nevmarr
0,2.545454502105713,4.0,37.15068435668945,1,somcol,white0,divrcd
0,1.6363636255264282,2.6666667461395264,28.78904151916504,0,lt-hs,white0,married
1,2.0,4.5,34.11507034301758,0,somcol,white0,divrcd
1,1.0,5.0,23.063013076782227,0,lt-hs,non.white1,nevmarr
1,1.2727272510528564,4.5,32.92054748535156,1,somcol,non.white1,married
1,2.454545497894287,4.666666507720947,53.558902740478516,1,somcol,white0,divrcd
0,1.0,5.0,32.405479431152344,0,somcol,white0,married
0,1.8181818723678589,3.6666667461395264,39.83287811279297,1,somcol,non.white1,divrcd
0,1.0,5.0,24.20547866821289,0,bach,non.white1,nevmarr
1,2.6363637447357178,4.666666507720947,45.70137023925781,1,somcol,white0,divrcd
0,1.545454502105713,4.666666507720947,28.76712417602539,1,somcol,non.white1,nevmarr
1,1.3636363744735718,5.0,31.665754318237305,0,bach,white0,married
1,1.545454502105713,4.0,32.71506881713867,0,gradwk,white0,married
1,1.2727272510528564,4.5,35.29862976074219,0,highsc,white0,married
1,2.090909004211426,5.0,48.97808074951172,1,highsc,white0,married
1,2.454545497894287,3.8333332538604736,35.9808235168457,0,lt-hs,white0,separtd
1,1.0909091234207153,4.166666507720947,42.879451751708984,1,highsc,non.white1,married
0,1.3636363744735718,4.833333492279053,26.799999237060547,0,somcol,white0,married
1,1.2727272510528564,4.0,25.54520606994629,1,lt-hs,white0,nevmarr
1,2.2727272510528564,4.166666507720947,31.389041900634766,0,lt-hs,white0,married
1,1.9090908765792847,2.3333332538604736,36.4191780090332,0,somcol,white0,nevmarr
0,1.6363636255264282,3.6666667461395264,33.68218994140625,1,somcol,white0,married
0,1.0,5.0,45.0191764831543,1,highsc,white0,divrcd
1,2.7272727489471436,4.166666507720947,41.698631286621094,0,highsc,white0,divrcd
0,1.9090908765792847,4.833333492279053,27.92876625061035,0,gradwk,white0,divrcd
1,2.7272727489471436,4.333333492279053,40.10137176513672,1,gradwk,white0,married
0,2.0,2.8333332538604736,47.77808380126953,1,highsc,white0,divrcd
1,1.0,4.333333492279053,44.18904113769531,0,bach,white0,married
1,1.3636363744735718,3.3333332538604736,33.33150863647461,1,bach,white0,married
1,1.0,3.8333332538604736,46.29862976074219,1,somcol,white0,married
1,1.0,5.0,29.578083038330078,0,highsc,white0,married
1,1.8181818723678589,3.8333332538604736,39.23013687133789,0,gradwk,white0,divrcd
0,1.3636363744735718,4.5,23.200000762939453,0,somcol,non.white1,nevmarr
1,2.909090995788574,3.3333332538604736,53.15342330932617,1,highsc,white0,widowed
0,1.3636363744735718,4.166666507720947,35.80821990966797,1,bach,white0,nevmarr
0,1.0,4.333333492279053,55.28767013549805,1,somcol,white0,married
1,1.1818181276321411,4.833333492279053,30.627397537231445,0,somcol,white0,married
0,3.090909004211426,3.5,44.441097259521484,0,somcol,white0,divrcd
1,1.3636363744735718,4.833333492279053,44.45753479003906,0,highsc,white0,married
1,2.454545497894287,3.8333332538604736,44.643836975097656,1,somcol,white0,married
1,1.0,4.0,29.50411033630371,0,bach,non.white1,married
0,1.6363636255264282,4.5,52.057533264160156,1,highsc,white0,married
1,1.0,4.5,43.61643981933594,0,bach,white0,married
0,1.0,4.0,24.358903884887695,1,somcol,non.white1,nevmarr
0,2.8181817531585693,3.0,40.11507034301758,0,somcol,white0,married
1,1.9090908765792847,1.1666666269302368,42.8575325012207,1,highsc,white0,divrcd
1,1.454545497894287,3.6666667461395264,36.635616302490234,0,highsc,white0,married
1,1.7272727489471436,4.5,43.80821990966797,1,highsc,white0,separtd
1,1.0909091234207153,3.5,29.44931411743164,1,bach,white0,divrcd
0,2.2727272510528564,2.8333332538604736,34.06575393676758,1,somcol,white0,married
1,2.6363637447357178,5.0,35.599998474121094,1,highsc,white0,married
1,1.3636363744735718,3.8333332538604736,53.49314880371094,1,highsc,white0,divrcd
0,1.3636363744735718,4.833333492279053,33.876712799072266,0,highsc,white0,married
1,1.3636363744735718,4.333333492279053,26.663013458251953,0,somcol,white0,married
1,1.0,4.333333492279053,41.649314880371094,0,highsc,white0,married
0,2.0,4.666666507720947,26.178081512451172,0,bach,white0,nevmarr
0,1.6363636255264282,5.0,23.536985397338867,1,highsc,white0,nevmarr
0,1.454545497894287,3.6666667461395264,30.147945404052734,0,bach,white0,nevmarr
0,2.090909004211426,4.5,31.399999618530273,1,bach,white0,divrcd
1,1.7272727489471436,3.5,31.7342472076416,1,somcol,white0,nevmarr
1,1.7272727489471436,3.8333332538604736,27.430137634277344,1,gradwk,non.white1,nevmarr
0,2.200000047683716,4.166666507720947,40.197261810302734,1,lt-hs,white0,divrcd
0,1.454545497894287,5.0,51.28219223022461,0,lt-hs,white0,married
1,1.2727272510528564,3.6666667461395264,37.967124938964844,1,somcol,white0,nevmarr
1,2.090909004211426,5.0,29.7095890045166,1,somcol,non.white1,separtd
0,3.0,3.3333332538604736,36.70137023925781,1,highsc,white0,married
1,1.2727272510528564,3.8333332538604736,33.89862823486328,1,highsc,white0,nevmarr
1,1.2727272510528564,4.666666507720947,42.74520492553711,1,highsc,white0,divrcd
1,1.545454502105713,4.5,29.227397918701172,1,somcol,white0,married
0,1.1818181276321411,4.166666507720947,25.50684928894043,0,bach,white0,married
1,1.6363636255264282,3.1666667461395264,22.136985778808594,0,highsc,white0,nevmarr
0,1.1818181276321411,4.333333492279053,32.79178237915039,0,gradwk,white0,married
1,2.0,4.333333492279053,21.865753173828125,0,highsc,white0,nevmarr
1,1.0909091234207153,4.166666507720947,24.638355255126953,0,highsc,non.white1,nevmarr
1,1.0,3.3333332538604736,57.136985778808594,1,lt-hs,white0,married
1,1.3636363744735718,4.666666507720947,47.02739715576172,1,bach,non.white1,divrcd
1,2.454545497894287,3.8333332538604736,48.841094970703125,1,highsc,white0,divrcd
0,1.0909091234207153,4.0,33.31781005859375,0,highsc,white0,married
1,1.1818181276321411,4.333333492279053,34.5616455078125,0,highsc,white0,married
1,1.7272727489471436,4.166666507720947,26.27397346496582,1,highsc,non.white1,nevmarr
1,1.8181818723678589,4.333333492279053,27.112329483032227,0,highsc,white0,married
1,2.2727272510528564,2.5,34.46575164794922,0,gradwk,white0,nevmarr
0,2.2727272510528564,3.6666667461395264,28.7342472076416,0,bach,white0,nevmarr
1,2.0,3.1666667461395264,22.49315071105957,1,highsc,white0,married
1,2.1818182468414307,3.0,37.87397384643555,1,highsc,white0,married
0,1.1818181276321411,3.8333332538604736,40.087669372558594,1,somcol,non.white1,divrcd
1,1.2727272510528564,5.0,33.32054901123047,0,highsc,white0,married
1,1.9090908765792847,2.3333332538604736,30.665754318237305,0,highsc,white0,nevmarr
0,1.0909091234207153,2.8333332538604736,41.55068588256836,1,somcol,white0,married
1,1.0909091234207153,4.5,30.375343322753906,0,highsc,white0,married
0,1.7272727489471436,4.833333492279053,37.68218994140625,1,somcol,white0,nevmarr
1,2.6363637447357178,4.166666507720947,25.49863052368164,1,highsc,white0,nevmarr
0,2.909090995788574,4.166666507720947,50.5561637878418,1,highsc,white0,divrcd
1,1.0909091234207153,4.833333492279053,29.200000762939453,1,bach,white0,married
1,2.299999952316284,3.3333332538604736,24.871232986450195,1,bach,white0,nevmarr
1,2.0,4.5,20.126028060913086,0,highsc,white0,nevmarr
1,1.9090908765792847,3.0,47.22191619873047,1,highsc,white0,married
1,3.0,5.0,49.78082275390625,1,lt-hs,white0,divrcd
1,1.545454502105713,4.333333492279053,27.356164932250977,1,gradwk,white0,married
1,1.0,5.0,32.31232833862305,1,highsc,white0,married
1,1.6363636255264282,3.5,28.55068588256836,1,highsc,white0,married
0,2.090909004211426,2.0,39.10411071777344,1,bach,white0,nevmarr
1,1.6363636255264282,3.5,25.01917839050293,1,highsc,white0,nevmarr
1,1.1818181276321411,3.3333332538604736,21.126028060913086,1,somcol,white0,nevmarr
0,1.9090908765792847,4.833333492279053,42.813697814941406,0,gradwk,white0,married
0,1.9090908765792847,3.1666667461395264,41.353424072265625,0,somcol,white0,divrcd
1,1.0,1.0,60.5616455078125,1,somcol,white0,widowed
1,1.0,5.0,47.19451904296875,0,bach,white0,married
1,2.2727272510528564,4.0,49.852054595947266,0,highsc,non.white1,divrcd
1,1.1818181276321411,4.333333492279053,37.56438446044922,1,highsc,white0,nevmarr
0,1.7272727489471436,3.6666667461395264,52.32054901123047,0,highsc,white0,married
1,1.8181818723678589,5.0,32.082191467285156,0,somcol,white0,nevmarr
1,3.545454502105713,4.666666507720947,39.120548248291016,0,somcol,non.white1,nevmarr
1,1.0,4.166666507720947,31.69862937927246,0,somcol,white0,married
